Date,Open,High,Low,Close,Adj Close,Volume
2008-10-06,98.739998,99.860001,98.620003,99.169998,65.590828,2906200
2008-10-07,98.320000,99.669998,97.980003,98.870003,65.392426,1972000
2008-10-08,99.680000,99.940002,96.680000,97.449997,64.453224,3386300
2008-10-09,97.370003,97.699997,96.220001,96.629997,63.910828,1785400
2008-10-10,96.610001,96.910004,95.510002,95.949997,63.461109,2200000
2008-10-13,95.110001,95.949997,94.260002,94.720001,62.647587,1532100
2008-10-14,94.250000,95.260002,93.900002,94.110001,62.244179,2100000
2008-10-15,94.120003,95.040001,93.419998,95.010002,62.839409,1449500
2008-10-16,94.989998,95.269997,94.180000,94.519997,62.515335,1063200
2008-10-17,94.690002,94.900002,93.019997,93.870003,62.085453,1691800
2008-10-20,93.440002,94.940002,93.360001,94.620003,62.581493,1146800
2008-10-21,95.089996,95.989998,94.739998,95.120003,62.912167,1243700
2008-10-22,96.120003,97.489998,95.849998,97.050003,64.188690,1069800
2008-10-23,97.949997,98.889999,96.820000,97.769997,64.664871,1802000
2008-10-24,98.820000,99.050003,96.449997,96.730003,63.977039,1495400
2008-10-27,97.769997,98.209999,96.290001,96.800003,64.023392,1534100
2008-10-28,96.180000,96.900002,95.150002,95.389999,63.090740,1505500
2008-10-29,95.769997,96.010002,94.430000,94.910004,62.773247,1745800
2008-10-30,94.500000,94.800003,93.800003,94.050003,62.204460,1326000
2008-10-31,94.639999,94.919998,92.650002,92.830002,61.397526,2282500
2008-11-03,92.720001,93.110001,92.349998,92.709999,61.563572,1111600
2008-11-04,92.959999,94.709999,92.589996,94.449997,62.719025,1608800
2008-11-05,94.889999,95.669998,94.400002,95.570000,63.462784,1931700
2008-11-06,94.599998,95.050003,93.809998,94.879997,63.004528,919700
2008-11-07,94.519997,94.519997,93.550003,94.260002,62.592834,1277100
2008-11-10,93.800003,95.099998,93.680000,94.720001,62.898296,1352100
2008-11-11,95.209999,95.809998,94.959999,95.000000,63.084225,696000
2008-11-12,95.580002,96.070000,95.160004,95.610001,63.489281,1199400
2008-11-13,94.910004,95.250000,93.250000,93.320000,61.968655,1631900
2008-11-14,95.110001,95.459999,94.790001,95.169998,63.197090,1059300
2008-11-17,95.680000,96.029999,95.290001,95.589996,63.476036,490300
2008-11-18,96.379997,97.000000,95.959999,96.820000,64.292740,924800
2008-11-19,97.470001,99.370003,97.209999,99.300003,65.939636,2090400
2008-11-20,101.820000,104.440002,101.099998,104.430000,69.346176,5459800
2008-11-21,103.250000,103.980003,101.449997,102.919998,68.343445,3249300
2008-11-24,102.150002,102.290001,101.000000,101.309998,67.274361,1587300
2008-11-25,103.949997,104.470001,102.680000,104.290001,69.253174,2632700
2008-11-26,104.720001,105.620003,104.089996,104.430000,69.346176,2577600
2008-11-28,105.250000,105.970001,104.940002,105.720001,70.202759,986400
2008-12-01,107.750000,110.410004,107.129997,109.400002,72.891235,4031600
2008-12-02,108.559998,110.370003,108.190002,109.820000,73.171082,3289300
2008-12-03,110.269997,110.809998,108.559998,110.129997,73.377625,2951000
2008-12-04,111.129997,112.489998,110.370003,112.300003,74.823517,2825400
2008-12-05,111.949997,113.000000,110.419998,110.480003,73.610817,4557600
2008-12-08,110.480003,111.250000,109.690002,110.239998,73.450958,2119500
2008-12-09,110.580002,112.529999,110.250000,112.419998,74.903442,2055500
2008-12-10,111.370003,112.150002,111.120003,112.150002,74.723541,2414900
2008-12-11,112.180000,112.430000,110.870003,112.370003,74.870087,2416900
2008-12-12,112.540001,112.559998,110.339996,112.370003,74.870087,2547100
2008-12-15,112.349998,113.940002,112.050003,113.650002,75.722923,1707700
2008-12-16,116.459999,116.900002,113.970001,116.459999,77.595207,4015100
2008-12-17,120.769997,121.129997,119.260002,119.620003,79.700607,6407500
2008-12-18,120.739998,123.150002,120.449997,122.129997,81.372971,4442000
2008-12-19,121.440002,122.989998,121.279999,122.260002,81.459663,2668500
2008-12-22,122.389999,122.389999,120.730003,121.320000,80.833275,2221400
2008-12-23,120.139999,121.500000,119.900002,121.160004,80.726685,1746400
2008-12-24,120.730003,121.320000,120.620003,120.900002,80.553505,717200
2008-12-26,121.589996,121.970001,121.199997,121.300003,80.820007,454400
2008-12-29,121.430000,122.010002,120.610001,120.750000,80.723045,1416000
2008-12-30,120.489998,121.919998,120.070000,121.900002,81.491844,2590500
2008-12-31,121.410004,122.000000,118.849998,119.349998,79.787125,2738000
2009-01-02,120.050003,120.449997,116.349998,116.349998,77.781601,3464200
2009-01-05,115.599998,116.160004,112.599998,113.349998,75.776054,5395200
2009-01-06,111.620003,113.260002,111.000000,112.209999,75.013939,4109300
2009-01-07,111.959999,112.680000,111.400002,112.650002,75.308098,2565600
2009-01-08,112.639999,112.919998,111.989998,112.559998,75.247963,2603600
2009-01-09,111.459999,113.349998,111.269997,112.730003,75.361610,2727900
2009-01-12,111.570000,114.050003,111.570000,113.900002,76.143776,2462800
2009-01-13,113.500000,114.080002,112.959999,114.019997,76.223969,1767400
2009-01-14,114.650002,116.040001,114.650002,115.900002,77.480728,2494800
2009-01-15,116.199997,116.919998,115.580002,116.089996,77.607758,2827200
2009-01-16,113.419998,116.089996,113.360001,114.300003,76.411110,2994800
